"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)",Quantidade,"Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)","Raridade (M R U C)","Cor (W U B R G M A L)",Extras,"Card #",Comentario
,"2024 Lunar New Year",pl24,"Servo do Soberano Dragao","Dragonlord's Servant",1,NM,EN,R,R,,1,
"A Guerra da Centelha","War of the Spark",war,"Envergamento de Raio","Bolt Bend",4,NM,EN,U,R,,115,
"A Guerra dos Irmãos (Schematic)","The Brothers' War (Schematic)",smbro,"Mox de Ambar","Mox Amber",1,NM,PT,M,C,,98,
"A Saga de Urza","Urza's Saga",us,Arrasar,Raze,4,NM,EN,C,R,,207,
,"Adventures in the Forgotten Realms",afr,"Covil do Bugurso","Den of the Bugbear",1,NM,EN,R,L,,254,
,"Adventures in the Forgotten Realms",afr,"Fogo do Dragao","Dragon's Fire",3,NM,PT,C,R,,139,
,"Adventures in the Forgotten Realms",afr,"Fogo do Dragao","Dragon's Fire",1,NM,PT,C,R,Foil,139,
,"Adventures in the Forgotten Realms",afr,"Inferno dos Montes das Estrelas","Inferno of the Star Mounts",2,NM,EN,M,R,,151,
,"Adventures in the Forgotten Realms",afr,"O Livro dos Feitos Exaltados","The Book of Exalted Deeds",1,NM,PT,M,W,"Foil, Pre Release",4,
,"Adventures in the Forgotten Realms",afr,"Orbe dos Dragoes","Orb of Dragonkind",3,NM,EN,R,R,,157,
,"Adventures in the Forgotten Realms",afr,"Orbe dos Dragoes","Orb of Dragonkind",1,NM,EN,R,R,Promo,157,
,Aetherdrift,dft,,"Skystreak Engineer",8,NM,EN,C,U,,61,
Amonkhet,Amonkhet,akh,"Deserto Abrasado pelo Sol","Sunscorched Desert",1,NM,PT,C,L,,249,
Amonkhet,Amonkhet,akh,"Monumento de Oketra","Oketra's Monument",1,NM,PT,U,C,,233,
,"Archenemy: Nicol Bolas",e01,Raio,"Lightning Bolt",1,NM,EN,U,R,,54,
"As Cavernas Perdidas de Ixalan","The Lost Caverns of Ixalan",lci,"Chimil, o Sol Interior","Chimil, the Inner Sun",1,NM,EN,M,C,"Foil, Promo",249,
"As Cavernas Perdidas de Ixalan","The Lost Caverns of Ixalan",lci,"Goblin Saqueador de Tumulos","Goblin Tomb Raider",4,NM,EN,C,R,,151,
"As Cavernas Perdidas de Ixalan","The Lost Caverns of Ixalan",lci,"Ojer Taq, Fundacao Profunda","Ojer Taq, Deepest Foundation",1,NM,EN,M,W,,26,
"Ascensão das Trevas","Dark Ascension",dka,"Dragao do Veu Lunar","Moonveil Dragon",1,NM,PT,M,R,,99,
"Ascensão dos Eldrazi","Rise of the Eldrazi",roe,"Linvala, Guardia do Silencio","Linvala, Keeper of Silence",1,NM,EN,M,W,,33,
,"Avatar: The Last Airbender Eternal (Elemental Frame)",eftle,"Manobra Impecavel","Flawless Maneuver",1,NM,EN,R,W,,306,
Bloomburrow,Bloomburrow,blb,,"Three Tree City",1,NM,EN,R,L,,260,
"Campeões de Kamigawa","Champions of Kamigawa",chk,"Shinka, a Fortaleza Ensanguentada","Shinka, the Bloodsoaked Keep",1,NM,PT,R,L,,282,
"Cicatrizes de Mirrodin","Scars of Mirrodin",som,"Renascimento de Kuldotha","Kuldotha Rebirth",1,NM,EN,C,R,,96,
,"Commander 2013",c13,"Poco dos Sonhos Perdidos","Well of Lost Dreams",1,NM,EN,R,C,,271,
,"Commander 2013",c13,"Surto da Tempestade Belica","Warstorm Surge",1,NM,EN,R,R,,129,
,"Commander 2017",c17,"Corneta do Arauto","Herald's Horn",1,NM,PT,U,C,,53,
,"Commander 2017",c17,"Dragao Averneo de Utvara","Utvara Hellkite",1,NM,PT,M,R,,144,
,"Commander 2017",c17,"Flagelo de Valkas","Scourge of Valkas",1,NM,PT,M,R,,142,
,"Commander 2018",c18,"Dragao Aninhador","Nesting Dragon",1,NM,PT,R,R,,24,
,"Commander 2018",c18,"Suplica aos Anjos","Entreat the Angels",1,NM,PT,M,W,,67,
,"Commander 2019",c19,"Anel Solar","Sol Ring",1,NM,PT,U,C,,221,
,"Commander 2019",c19,"Extorsionista das Docas","Dockside Extortionist",1,NM,EN,R,R,,24,
,"Commander 2020",c20,"Akroma, Anjo da Ira","Akroma, Angel of Wrath",1,NM,PT,M,W,,73,
